Marca,Modelo,Año,Kilometraje,Precio
Toyota,Corolla,2015,55000,14500
Toyota,Camry,2016,62000,16000
Honda,Civic,2017,48000,17000
Honda,Accord,2018,31000,20000
Ford,Focus,2015,75000,13000
Ford,Fusion,2017,45000,15000
Chevrolet,Malibu,2016,67000,13500
Chevrolet,Impala,2017,35000,18000
BMW,320i,2018,24000,26000
BMW,330i,2019,12000,28000
Audi,A4,2017,42000,22000
Audi,A6,2018,31000,30000
Mercedes-Benz,C-Class,2018,26000,27000
Mercedes-Benz,E-Class,2019,15000,35000
Volkswagen,Jetta,2016,60000,14000
Volkswagen,Passat,2017,45000,16000
Hyundai,Elantra,2018,35000,16500
Hyundai,Sonata,2019,27000,19000
Nissan,Altima,2017,50000,15500
Nissan,Maxima,2018,34000,21000
Kia,Optima,2017,48000,15000
Kia,Sorento,2019,22000,23000
Subaru,Impreza,2018,36000,17500
Subaru,Forester,2019,25000,24000
Mazda,3,2017,51000,16000
Mazda,6,2018,29000,18500
Dodge,Charger,2017,39000,21000
Dodge,Durango,2018,32000,25000
Jeep,Grand Cherokee,2018,28000,29000
Jeep,Wrangler,2019,15000,32000
Tesla,Model 3,2020,10000,35000
Tesla,Model S,2019,20000,70000
Volvo,S60,2018,33000,27000
Volvo,XC90,2019,18000,42000
Lexus,IS,2018,27000,31000
Lexus,ES,2019,19000,35000
Acura,TLX,2018,30000,28000
Acura,RDX,2019,21000,35000
Infiniti,Q50,2018,29000,32000
Infiniti,QX60,2019,23000,38000
Jaguar,XE,2018,25000,35000
Jaguar,F-PACE,2019,17000,46000
Cadillac,ATS,2017,40000,27000
Cadillac,XT5,2018,30000,38000
Lincoln,MKZ,2018,27000,29000
Lincoln,Nautilus,2019,19000,40000
Porsche,Macan,2019,12000,52000
Porsche,Cayenne,2018,25000,60000
Alfa Romeo,Giulia,2018,29000,35000
Alfa Romeo,Stelvio,2019,16000,45000
